ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6149920_PN0097_20060216_U133Plus2.CEL.gz,4.693950042,4.693950042,4.693950042,4.693950042,4.693950042,4.693950042,4.693950042,4.693950042,5.516572386,4.868406465,1
GSM6149921_PN0098_20060216_U133Plus2.CEL.gz,4.998656436,4.998656436,4.998656436,4.998656436,4.998656436,4.998656436,4.998656436,4.998656436,5.712456271,5.001547104,1
GSM6149922_PN0101_20060216_U133Plus2.CEL.gz,4.963281002,4.963281002,4.963281002,4.963281002,4.963281002,4.963281002,4.963281002,4.963281002,5.933202511,5.100519625,1
GSM6149923_PN0105_20060216_U133Plus2.CEL.gz,4.986493612,4.986493612,4.986493612,4.986493612,4.986493612,4.986493612,4.986493612,4.986493612,5.772697553,4.929004403,1
GSM6149924_PN0110_20060216_U133Plus2.CEL.gz,5.024246538,5.024246538,5.024246538,5.024246538,5.024246538,5.024246538,5.024246538,5.024246538,5.772697553,4.983616927,1
GSM6149925_PN0111_20060216_U133Plus2.CEL.gz,5.142930096,5.142930096,5.142930096,5.142930096,5.142930096,5.142930096,5.142930096,5.142930096,5.851454337,4.913473361,1
GSM6149926_PN0112_20060216_U133Plus2.CEL.gz,4.972870147,4.972870147,4.972870147,4.972870147,4.972870147,4.972870147,4.972870147,4.972870147,5.817087608,4.930935352,1
GSM6149927_PN0116_20060216_U133Plus2.CEL.gz,4.851782996,4.851782996,4.851782996,4.851782996,4.851782996,4.851782996,4.851782996,4.851782996,5.665178983,4.863285985,1
GSM6149928_PN0123_20060216_U133Plus2.CEL.gz,4.799370764,4.799370764,4.799370764,4.799370764,4.799370764,4.799370764,4.799370764,4.799370764,5.577899343,4.951906012,1
GSM6149930_PN0149_20060322_U133Plus2.CEL.gz,4.870786031,4.870786031,4.870786031,4.870786031,4.870786031,4.870786031,4.870786031,4.870786031,5.855653699,5.213115801,1
GSM6149931_PN0161_20060217_U133Plus2.CEL.gz,4.863027246,4.863027246,4.863027246,4.863027246,4.863027246,4.863027246,4.863027246,4.863027246,6.033708449,4.872175607,1
GSM6149932_PN0162_20060322_U133Plus2.CEL.gz,4.895994712,4.895994712,4.895994712,4.895994712,4.895994712,4.895994712,4.895994712,4.895994712,5.716936822,5.087372681,1
GSM6149933_PN0165_20060322_U133Plus2.CEL.gz,5.102378523,5.102378523,5.102378523,5.102378523,5.102378523,5.102378523,5.102378523,5.102378523,6.274850174,4.935352024,1
GSM6149934_PN0185_20060322_U133Plus2.CEL.gz,5.074426788,5.074426788,5.074426788,5.074426788,5.074426788,5.074426788,5.074426788,5.074426788,6.037279779,4.972792039,1
GSM6149935_PN0191_20070719_U133Plus2.CEL.gz,4.839737109,4.839737109,4.839737109,4.839737109,4.839737109,4.839737109,4.839737109,4.839737109,6.194399819,5.004103185,1
GSM6149936_PN0199_20070719_U133Plus2.CEL.gz,5.029354772,5.029354772,5.029354772,5.029354772,5.029354772,5.029354772,5.029354772,5.029354772,6.190881777,5.206997944,1
GSM6149937_PN0203_20070719_U133Plus2.CEL.gz,5.329050719,5.329050719,5.329050719,5.329050719,5.329050719,5.329050719,5.329050719,5.329050719,7.90796461,5.628226284,1
GSM6149938_PN0211_20070719_U133Plus2.CEL.gz,4.749959795,4.749959795,4.749959795,4.749959795,4.749959795,4.749959795,4.749959795,4.749959795,7.026224208,5.047514778,1
GSM6149939_PN0221_20070719_U133Plus2.CEL.gz,4.997961982,4.997961982,4.997961982,4.997961982,4.997961982,4.997961982,4.997961982,4.997961982,6.095485052,4.938519752,1
GSM6149940_PN0354_20070719_U133Plus2.CEL.gz,4.807530139,4.807530139,4.807530139,4.807530139,4.807530139,4.807530139,4.807530139,4.807530139,7.352403902,5.054718388,1
GSM6149941_PN0377_20070719_U133Plus2.CEL.gz,4.744629413,4.744629413,4.744629413,4.744629413,4.744629413,4.744629413,4.744629413,4.744629413,6.725114886,5.210271282,1
